Course,Topic,Term,Year,Sentence
Unstructured Data Analysis,Images,4,2,"Suppose that we construct a chart with alternating black and white vertical lines, each of width W units (W can be less than 1)."
Unstructured Data Analysis,Images,4,2,"The width of a line pair is thus 2W , and there are 1/2W line pairs per unit distance."
Unstructured Data Analysis,Images,4,2,"If the width of a line is 0.1 mm, there are 5 line pairs per unit distance (i.e., per mm)."
Unstructured Data Analysis,Images,4,2,"A widely used definition of image resolution is the largest number of discernible line pairs per unit distance (e.g. , 100 line pairs per mm)"
Unstructured Data Analysis,Images,4,2,Dots per unit distance is a measure of image resolution used in the printing and publishing industry
Unstructured Data Analysis,Images,4,2,"In the U.S., this measure usually is expressed as dots per inch (dpi)"
Unstructured Data Analysis,Images,4,2,"To give you an idea of quality, newspapers are printed with a resolution of 75 dpi, magazines at 133 dpi, glossy brochures at 175 dpi, and book pages at 2400 dpi"
Unstructured Data Analysis,Images,4,2,"A pixel p at coordinates (x, y) has two horizontal and two vertical neighbors with coordinates (x+1,y), (x−1,y), (x,y+1), (x,y−1)."
Unstructured Data Analysis,Images,4,2,"This set of pixels, called the 4-neighbors of p, is denoted N4(p)."
Unstructured Data Analysis,Images,4,2,"The four diagonal neighbors of p have coordinates (x+1,y+1), (x+1,y−1), (x−1,y+1), (x−1,y−1) and are denoted by ND(p)"
Unstructured Data Analysis,Images,4,2,"These neighbors, together with the 4-neighbors, are called the 8- neighbors of p, denoted by N8(p)."
Unstructured Data Analysis,Images,4,2,The set of image locations of the neighbors of a point p is called the neighborhood of p.
Unstructured Data Analysis,Images,4,2,The neighborhood is said to be closed if it contains p.
Unstructured Data Analysis,Images,4,2,"Otherwise, the neighborhood is said to be open"
Unstructured Data Analysis,Images,4,2,Let V be the set of intensity values used to define adjacency
Unstructured Data Analysis,Images,4,2,"In a binary image, V = {1} if we are referring to adjacency of pixels with value 1"
Unstructured Data Analysis,Images,4,2,"In a grayscale image, the idea is the same, but the set V typically contains more elements"
Unstructured Data Analysis,Images,4,2,"For example, if we are dealing with the adjacency of pixels whose values are in the range 0 to 255, the set V could be any subset of these 256 values"
Unstructured Data Analysis,Images,4,2,"Two pixels p and q with values from V are m-adjacent (or mixed adjacent) if
1. qisinN4(p),or
2. q is in ND(p) and the set N4(p) ∩ N4(q) has no pixels whose values are from V ."
Unstructured Data Analysis,Images,4,2,"Mixed adjacency is a modification of 8-adjacency, and is introduced to eliminate the ambigui- ties that may result from using 8-adjacency."
Unstructured Data Analysis,Images,4,2,"Connectivity: A digital path (or curve) from pixel p with coordinates (x0,y0) to pixel q with coordinates (xn, yn) is a sequence of distinct pixels with coordinates
(x0,y0), (x1,y1), ...,(xn,yn)
where points (xi, yi) and (xi−1, yi−1) are adjacent for 1 ≤ i ≤ n."
Unstructured Data Analysis,Images,4,2,"If (x0, y0) = (xn, yn), the path is a closed path."
Unstructured Data Analysis,Images,4,2,"We can define 4-, 8-, or m-paths, depending on the type of adjacency specified."
Unstructured Data Analysis,Images,4,2,Let S represent a subset of pixels in an image
Unstructured Data Analysis,Images,4,2,Two pixels p and q are said to be connected in S if there exists a path between them consisting entirely of pixels in S
Unstructured Data Analysis,Images,4,2,"For any pixel p in S, the set of pixels that are connected to it in S is called a connected component of S"
Unstructured Data Analysis,Images,4,2,"If it only has one component, and that component is connected, then S is called a connected set"
Unstructured Data Analysis,Images,4,2,Let R represent a subset of pixels in an image
Unstructured Data Analysis,Images,4,2,We call R a region of the image if R is a connected set
Unstructured Data Analysis,Images,4,2,Two regions Ri and Rj are said to be adjacent if their union forms a connected set
Unstructured Data Analysis,Images,4,2,Regions that are not adjacent are said to be disjoint
Unstructured Data Analysis,Images,4,2,We consider 4- and 8-adjacency when referring to regions
Unstructured Data Analysis,Images,4,2,"For our definition to make sense, the type of adjacency used must be specified"
Unstructured Data Analysis,Images,4,2,We use geometric transformations modify the spatial arrangement of pixels in an image
Unstructured Data Analysis,Images,4,2,"We might want to modify spatial arrangements of pixels on an image depending on usage or context, for example, when web-browsing on a computer versus mobile phone or we might like to view an image from another angle or perspective"
Unstructured Data Analysis,Images,4,2,"These transformations are often called rubber-sheet transformations because they may be viewed as analogous to “printing” an image on a rubber sheet, then stretching or shrinking the sheet according to a predefined set of rules"
Unstructured Data Analysis,Images,4,2,Geometric transformations of digital images consist of two basic operations:
Unstructured Data Analysis,Images,4,2,"In this module, we will restrict our attention to affine transformations, which include scaling, translation, rotation, and shearing"
Unstructured Data Analysis,Images,4,2,"The key characteristic of an affine transformation in 2D is that it preserves points, straight lines, and planes"
Unstructured Data Analysis,Images,4,2,"The above equation (1) can be used to express the transformations just mentioned, except translation, which would require that a constant 2D vector be added to the right-hand side of the equation"
Unstructured Data Analysis,Images,4,2,"The most popular technique for working with image/video data nowadays is deep learning, so we will talk about this first and demonstrate how deep learning can be used in imaging tasks"
Unstructured Data Analysis,Images,4,2,"Applications of CNN include image classification, image semantic segmentation, object detection in images, and many more"
Unstructured Data Analysis,Images,4,2,"As a running example through this section to illustrate CNNs and how they’ll work, we’ll use the task of image classification or categorization"
Unstructured Data Analysis,Images,4,2,"In image classification, every image has a major object which occupies a large portion of the image which is then classified into one of the classes based on the identity of its main object, e.g. , dog, airplane, bird, etc"
Unstructured Data Analysis,Images,4,2,"A CNN usually takes an order 3 tensor as its input, e.g. , an image with H rows, W columns, and 3 channels (R,G,B color channels)"
Unstructured Data Analysis,Images,4,2,Higher order tensor inputs can also be handled by CNNs similarly
Unstructured Data Analysis,Images,4,2,The input then sequentially goes through a series of processing
Unstructured Data Analysis,Images,4,2,"One processing step is called a layer, which could be a convolution layer, a pooling layer, a normalization layer, a fully connected layer, a loss layer, etc"
Unstructured Data Analysis,Images,4,2,Let’s suppose one training example x1 is given to train our parameters
Unstructured Data Analysis,Images,4,2,The training process involves running the CNN flow in both directions
Unstructured Data Analysis,Images,4,2,We first run the network in the forward pass to get xL to achieve a prediction using the current CNN parameters
Unstructured Data Analysis,Images,4,2,"Instead of outputting a prediction, we need to compare the prediction with the target t corresponding to x1—that is, continue running the forward pass until the last loss layer"
Unstructured Data Analysis,Images,4,2,"Finally, we achieve a loss z"
Unstructured Data Analysis,Images,4,2,"The loss z is then a supervision signal, guiding how the parameters of the model should be modified (updated)"
Unstructured Data Analysis,Images,4,2,"In order to minimize the loss function, we should update wi along the opposite direction of the gradient"
Unstructured Data Analysis,Images,4,2,This updating rule is called the gradient descent
Unstructured Data Analysis,Images,4,2,We will use PyTorch to build our CNN model
Unstructured Data Analysis,Images,4,2,PyTorch is an optimized deep learning tensor library based on Python and Torch and is mainly used for applications using GPUs and CPUs
Unstructured Data Analysis,Images,4,2,One advantage that PyTorch has over other deep learning frameworks such as TensorFlow and Keras is that it uses dynamic computation graphs and is completely Pythonic
Unstructured Data Analysis,Images,4,2,"It allows scientists, developers, and neural network debuggers to run and test portions of the code in real time, so you don’t have to wait for the entire code to be implemented to check if a part of the code works or not"
Unstructured Data Analysis,Images,4,2,Then we download the dataset we would like to train and predict
Unstructured Data Analysis,Images,4,2,"The dataset we’ll use here is the well-known and widely-used MNIST (Modified National Institute of Standards and Technology) database [7], which is a large database of handwritten digits that is commonly used for training various image processing systems"
Unstructured Data Analysis,Images,4,2,The database is also widely used for training and testing in the field of machine learning
Unstructured Data Analysis,Images,4,2,Figure 2 shows some examples of handwritten digits that we’d like to classify from MNIST
Unstructured Data Analysis,Images,4,2,"Edge detection is a process that aims to capture significant properties of objects in the image, which include discontinuities in the photometrical, geometric, and physical characteristics of objects"
Unstructured Data Analysis,Images,4,2,This information results in variations in the gray level image
Unstructured Data Analysis,Images,4,2,The purpose of edge detection is to localize these variations and to identify the physical phenomena that produce them
Unstructured Data Analysis,Images,4,2,"Edge detection is one of the most important first steps in image processing, and must be efficient and reliable because the validity, efficiency, and possibility of the completion of subsequent processing stages rely on it"
Unstructured Data Analysis,Images,4,2,Edge detection operators are based on the idea that edge information in an image is found by considering the relationship between a pixel and its neighbors
Unstructured Data Analysis,Images,4,2,"If a pixel’s gray-level value is similar to those around it, there is probably not an edge at that point"
Unstructured Data Analysis,Images,4,2,"However, if a pixel has neighbors with widely varying gray levels, it may represent an edge point"
Unstructured Data Analysis,Images,4,2,"Ideally, an edge separates two distinct objects"
Unstructured Data Analysis,Images,4,2,"In practice, apparent edges are caused by changes in color, texture, or by the specific lighting conditions present during the image acquisition process"
Unstructured Data Analysis,Images,4,2,This means that what we refer to as image objects may actually be only parts of the objects in the real world
Unstructured Data Analysis,Images,4,2,The edge detection operators that we cover here represent the various types of operators most commonly used today
Unstructured Data Analysis,Images,4,2,"Many are implemented with kernels or convolution matrices discussed previously, and most are based on discrete approximations to differential operators"
Unstructured Data Analysis,Images,4,2,"Differential operations measure the rate of change in a function (in the same spirit as stochastic gradient descent, discussed earlier)—in this case, the image brightness function"
Unstructured Data Analysis,Images,4,2,A large change in image brightness over a short spatial distance indicates the presence of an edge
Unstructured Data Analysis,Images,4,2,Some edge detection operators return orientation information (i
Unstructured Data Analysis,Images,4,2,", information about the direction of the edge), while others only return information about the existence of an edge at each point"
Unstructured Data Analysis,Images,4,2,"Here, we mention a caveat as well as a taster of what’s to come further on in this topic: With many edge detection operators, noise in the image can create problems"
Unstructured Data Analysis,Images,4,2,"That is why it is best to pre-process the image to eliminate, or at least minimize, noise effects"
Unstructured Data Analysis,Images,4,2,To deal with noise effects we must make trade-offs between the sensitivity and the accuracy of an edge detector
Unstructured Data Analysis,Images,4,2,"For example, if the parameters are adjusted so that the edge detector is very sensitive, it will tend to find many potential edge points that are actually attributable to noise"
Unstructured Data Analysis,Images,4,2,"If we make it less sensitive, it may miss valid edges"
Unstructured Data Analysis,Images,4,2,The parameters that we can vary include the size of the edge detection kernel and the value of the gray-level threshold
Unstructured Data Analysis,Images,4,2,"A larger kernel or a higher gray-level threshold will tend to reduce noise effects, but may result in a loss of valid edge points"
Unstructured Data Analysis,Images,4,2,We’ll discuss image denoising in the next section of this topic
Unstructured Data Analysis,Images,4,2,Physical edges provide important visual information
Unstructured Data Analysis,Images,4,2,"The principal physical edges correspond to significant variations in the reflectance, illumination, orientation, and depth of scene surfaces"
Unstructured Data Analysis,Images,4,2,"Since image intensity is often proportional to scene radiance, physical edges are represented in the image by changes in the intensity function"
Unstructured Data Analysis,Images,4,2,"The most common types of image intensity variations are steps, lines, and junctions"
Unstructured Data Analysis,Images,4,2,Steps are by far the most common type of edge encountered
Unstructured Data Analysis,Images,4,2,This type of edge are caused by various phenomena
Unstructured Data Analysis,Images,4,2,"Some examples of steps are when one object hides another, or when there is a shadow on a surface"
Unstructured Data Analysis,Images,4,2,"It generally occurs between two regions with almost constant, but still different, grey levels"
Unstructured Data Analysis,Images,4,2,The step edge is the point at which the grey level discontinuity occurs
Unstructured Data Analysis,Images,4,2,"In real images, step edges are localized at the inflection points of the image"
Unstructured Data Analysis,Images,4,2,"In fact, the image formation process involves the convolution of the camera point-spread function with the edge profile that is actually corrupted by noise to produce a smoother result"
Unstructured Data Analysis,Images,4,2,"As a consequence, step edges are localized as positive maxima or negative minima of the first-order derivative or as zero-crossings of the second-order derivative"
Unstructured Data Analysis,Images,4,2,Lines come from mutual illumination between objects that are in contact or from thin objects placed against a background
Unstructured Data Analysis,Images,4,2,Lines correspond to local extrema of the image
Unstructured Data Analysis,Images,4,2,"They are localized as zero-crossings of the first derivative, or local maxima of the Laplacian (more on this later), or local maxima of the grey level variance of the smoothed image"
Unstructured Data Analysis,Images,4,2,"This type of edge is successfully used in remote sensing images, for instance, to detect roads and rivers"
Unstructured Data Analysis,Images,4,2,A physical corner or junction is formed when at least two physical edges meet
Unstructured Data Analysis,Images,4,2,"There are additional circumstances that may create corners in the image, for example, illumination effects or occlusions"
Unstructured Data Analysis,Images,4,2,"The junction can be localized in various ways, such as by a point with high curvature, or a point with great variation in gradient direction, or a zero-crossing of the Laplacian with high curvature"
Unstructured Data Analysis,Images,4,2,"The term edge, as commonly used, encompasses all of these types of edges, but the majority of existing edge detection algorithms are adapted to step edges, which are the most common"
Unstructured Data Analysis,Images,4,2,Gradient operators are based on first or second derivatives of the gray-level function as an edge detector
Unstructured Data Analysis,Images,4,2,Recall from calculus (and as discussed previously) that the derivative measures the rate of change of a line or the slope of the line
Unstructured Data Analysis,Images,4,2,"When the gray level is constant, the first derivative is zero, and when it is linear it is equal to the slope of the line"
Unstructured Data Analysis,Images,4,2,"With the following operators we will see that this is approximated with a difference operator, similar to the methods used in the definition of the derivative that you’ve seen from calculus"
Unstructured Data Analysis,Images,4,2,The second derivative measures the rate of change of the derivative
Unstructured Data Analysis,Images,4,2,"It is positive at the change on the dark side of the edge, negative at the change on the light side, and zero elsewhere"
Unstructured Data Analysis,Images,4,2,"The Robinson compass masks are used in a manner similar to the Kirsch masks, but are easier to implement, as they rely only on coefficients of 0, 1, and 2, and are symmetrical about their directional axis—the axis with the zeros that corresponds to the line direction"
Unstructured Data Analysis,Images,4,2,We only need to compute the results on four of the masks; the results from the other four can be obtained by negating the results from the first four
Unstructured Data Analysis,Images,4,2,Another class of operator that is differential in nature but offers more flexibility than the gradient operators just discussed is the Laplacian operators
Unstructured Data Analysis,Images,4,2,"To get an intuition on how these operators work, we first look at its definition"
Unstructured Data Analysis,Images,4,2,"In evaluating the performance of processing techniques, we consider both objective and subjective evaluations"
Unstructured Data Analysis,Images,4,2,"The objective metric allows us to compare different techniques using fixed analytical methods, whereas the subjective methods may have unpredictable results"
Unstructured Data Analysis,Images,4,2,"However, for many image processing applications, the subjective measures in fact tend to be the most useful"
Unstructured Data Analysis,Images,4,2,"To develop a performance metric for edge detection operators, we need to first determine what constitutes success"
Unstructured Data Analysis,Images,4,2,"For example, the Canny algorithm was developed considering three important edge detection success criteria"
Unstructured Data Analysis,Images,4,2,"These criteria correspond nicely to Pratt’s Figure of Merit (FOM) [1], which considers the types of errors that can occur with edge detection methods"
Unstructured Data Analysis,Images,4,2,The types of errors are missing valid edge points; classifying noise pulses as valid edge points; and smearing of edges
Unstructured Data Analysis,Images,4,2,"If these errors do not occur, then edge detection is deemed successful"
Unstructured Data Analysis,Images,4,2,"The distance, d, can be defined in more than one way and typically depends on the connectivity definition used"
Unstructured Data Analysis,Images,4,2,"Some commonly used distances are the city-block distance, which is based on 4-connectivity and where movements are only horizontal and vertical (see Definition 2"
Unstructured Data Analysis,Images,4,2,"9 above); chessboard distance, which is based on 8-connectivity, allowing for additional diagonal movements (see Definition 2"
Unstructured Data Analysis,Images,4,2,"11); and the Euclidean distance, which is based on actual physical distance (see Definition 2"
Unstructured Data Analysis,Images,4,2,"Image denoising is to remove noise from a noisy image, so as to restore the true image"
Unstructured Data Analysis,Images,4,2,"However, since noise, edge, and texture are high frequency components, it is difficult to distinguish them in the process of denoising and the denoised images could inevitably lose some details"
Unstructured Data Analysis,Images,4,2,"Overall, recovering meaningful information from noisy images in the process of noise removal to obtain high quality images is an important problem and an important image processing task"
Unstructured Data Analysis,Images,4,2,The purpose of noise reduction is to decrease the noise in natural images while minimizing the loss of original features and improving the signal-to-noise ratio (SNR)
Unstructured Data Analysis,Images,4,2,"Under the influence of noise, the gray scale of image pixels will change"
Unstructured Data Analysis,Images,4,2,Noise is often random and the effect of random noise on a particular image is therefore uncertain
Unstructured Data Analysis,Images,4,2,"In many cases, the noise has statistical characteristics which allows us to describe noise as a statistical process"
Unstructured Data Analysis,Images,4,2,"Noise can be superimposed on the original image, which is then known as additive noise"
Unstructured Data Analysis,Images,4,2,"It can also be multiplied with the original image, which is then called multiplicative noise"
Unstructured Data Analysis,Images,4,2,"If the gray level of the noise itself is regarded as a random variable, its distribution can be described by a probability density function (pdf)"
Unstructured Data Analysis,Images,4,2,Here are some important noise pdfs
Unstructured Data Analysis,Images,4,2,Noise from images may be removed by applying a filter
Unstructured Data Analysis,Images,4,2,"There exist many filters, which are largely classified by their approaches, which is largely driven by the type of noise and where the filter is applied"
Unstructured Data Analysis,Images,4,2,"In addition, there are filters that handle periodic noise, which refers to the regular repetition of noise in the image"
Unstructured Data Analysis,Images,4,2,This kind of noise is often caused by electrical interference when collecting images and it varies with spatial position
Unstructured Data Analysis,Images,4,2,"Because periodic noise has a specific frequency, there is a class of frequency domain filters which is often used to eliminate it"
Unstructured Data Analysis,Images,4,2,"This kind of noise will not be covered in this topic since to fully appreciate its technicality and understand the philosophy behind the approach, knowledge of Fourier analysis is required, which is beyond the scope of this module"
Unstructured Data Analysis,Images,4,2,Order Statistical Filters
Unstructured Data Analysis,Images,4,2,Order statistical filters perform filtering by sorting the gray values in images; they are another common type of spatial noise filter and are nonlinear filters
Unstructured Data Analysis,Images,4,2,Here are the most common order statistical filters
Unstructured Data Analysis,Images,4,2,"Another filter that is very similar in spirit to the mean filters and median filter just presented, though neither a mean nor an order statistical filter, is the mode filter"
Unstructured Data Analysis,Images,4,2,"Recall that in statistics, in addition to the mean and median, the mode value is also a common statistical summary and represents the most likely value in a distribution: it is the value that is the most frequently occurring among observations"
Unstructured Data Analysis,Images,4,2,Using the mode filter can not only eliminate noise (especially impulse noise) but also sharpen the edge of the object
Unstructured Data Analysis,Images,4,2,"This is because, in the neighborhood close to the edge, the mode filter will move the mode closer to the center of the edge, which makes the edge sharper"
Unstructured Data Analysis,Images,4,2,More precisely (no pun intended
Unstructured Data Analysis,Images,4,2,"!), the pixels on the background side of any edge mainly have background gray values, so the output of the mode filter will be the gray value of the background; while the pixels on the foreground side of any edge will mainly have foreground gray values, so the output of the mode filter will be the gray value of the foreground"
Unstructured Data Analysis,Images,4,2,"In this way, at a certain point on the edge, the main peak of the local grayscale distribution changes from the background to the foreground or from the foreground to the background, which tends to enhance the edge"
Unstructured Data Analysis,Images,4,2,"This procedure is different from a filter that works by average, which is an operation that blurs the edges"
Unstructured Data Analysis,Images,4,2,"Filtering by averaging will, on the other hand, produce an edge profile with a mixture of background and foreground gray levels, which will reduce the local contrast between these two regions"
Unstructured Data Analysis,Images,4,2,"The grayscale distribution in a region can be represented by the histogram of the region, and the mean, median, and mode are all closely related to the histogram, as in usual statistics"
Unstructured Data Analysis,Images,4,2,The mean value of the histogram of a region gives the mean gray value of the region
Unstructured Data Analysis,Images,4,2,The median value of the histogram of a region also gives the median gray value of the region
Unstructured Data Analysis,Images,4,2,The mode value of the histogram of a region is the gray value with the largest statistical value
Unstructured Data Analysis,Images,4,2,"If the histogram is symmetric and there is only one peak, then the mean, median, and mode are all the same"
Unstructured Data Analysis,Images,4,2,"If there is only one peak in the histogram, but the left and right sides of the histogram are asymmetric, then the mode value corresponds to that peak, and the median is always closer to the mode value than the mean"
Unstructured Data Analysis,Images,4,2,"Direct detection of the mode value, however, may be difficult due to the influence of noise, resulting in inaccurate detection"
Unstructured Data Analysis,Images,4,2,"If the median value has been determined, the median position can be used to then determine the mode position more accurately"
Unstructured Data Analysis,Images,4,2,The method of filtering by truncating the median can be used here
Unstructured Data Analysis,Images,4,2,"This proceeds in the following way: first, according to the median value, cut the longer part of the tail to make it the same length as the untruncated part, then calculate the median value of the remaining part"
Unstructured Data Analysis,Images,4,2,"Then crop this part as before and repeat, so that the iteration gradually approaches the mode position"
Unstructured Data Analysis,Images,4,2,"Here, the relationship that the median position is closer to the mode position than the mean position is used"
Unstructured Data Analysis,Images,4,2,"Linear filters, such as most of the mean filters discussed previously, can effectively eliminate Gaussian noise and uniformly distributed noise, but their elimination of salt and pepper noise is very poor"
Unstructured Data Analysis,Images,4,2,"The median filter can effectively eliminate impulse noise, such as salt and pepper noise, and will not blur the image too much; however, the effect of eliminating Gaussian noise, on the other hand, is not very good"
Unstructured Data Analysis,Images,4,2,"When an image is affected by both salt and pepper noise and Gaussian noise, it can be divided into two sets after detecting the pixel set affected by the salt and pepper noise as described above"
Unstructured Data Analysis,Images,4,2,"One set is only affected by Gaussian noise, while the other set is affected by both Gaussian noise and salt and pepper noise"
Unstructured Data Analysis,Images,4,2,The influence of Gaussian noise on these pixels affected by salt and pepper noise can be ignored since the grayscale of the pixels affected by salt and pepper noise takes the two extreme values of the gray scale of the image
Unstructured Data Analysis,Images,4,2,"To eliminate salt and pepper noise in affected pixels, the surrounding pixels that are not affected by salt and pepper noise can be used for interpolation"
Unstructured Data Analysis,Images,4,2,A filter designed to to eliminate Gaussian noise from pixels that are not affected by salt and pepper noise can be applied (many predefined functions in packages use an adaptive Wiener filter)
Unstructured Data Analysis,Images,4,2,"Finally, the two results are combined to provide the output denoised image"
Unstructured Data Analysis,Images,4,2,Image segmentation is a process that divides images into multiple regions or segments in such a way that its representation is easier to analyze so that the interpretation is more meaningful
Unstructured Data Analysis,Images,4,2,"It classifies or clusters the image into several parts (regions) according to the feature of image, for example, the pixel value or the frequency response, which makes it relatable to other tasks, such as edge detection"
Unstructured Data Analysis,Images,4,2,"Region-based methods mainly rely on the assumption that the neighboring pixels within one region have similar value, so the procedure compares one pixel with its neighbors"
Unstructured Data Analysis,Images,4,2,"If a similarity criterion is satisfied between this pixel and its neighbors, the pixel is set belong to the cluster, along with one or more of its neighbors"
Unstructured Data Analysis,Images,4,2,"Here, predefining the similarity criterion is crucial, and the results are influenced by noise in all instances"
Unstructured Data Analysis,Images,4,2,The seeded region growing (SRG) algorithm is one of the simplest region-based segmentation methods
Unstructured Data Analysis,Images,4,2,It segments an image by examining the neighboring pixels of a set of seed points (pixels) and determines whether they can be classified to the cluster of the seed point or not
Unstructured Data Analysis,Images,4,2,The algorithm proceeds as follows
Unstructured Data Analysis,Images,4,2,"Each of the segmentation regions of the SRG algorithm has high color similarity and no fragmentary issues, by design"
Unstructured Data Analysis,Images,4,2,"However, it still has three important drawbacks"
Unstructured Data Analysis,Images,4,2,"The first is that different sets of initial seed points lead to different segmentation results, which negatively affects the stability of segmentation results"
Unstructured Data Analysis,Images,4,2,"Furthermore, the number of initial seed points is an important issue because it can vary from image to image, depending on the image type, application, research problem, source, etc"
Unstructured Data Analysis,Images,4,2,"Finally, the SRG is a time-consuming algorithm, which, despite the initial seed issues just discussed, turns out to be the most serious problem of SRG"
Unstructured Data Analysis,Images,4,2,The unseeded region growing (URG) algorithm is a derivative of the SRG algorithm
Unstructured Data Analysis,Images,4,2,This algorithm bypasses the initial seeding drawback of the SRG and its main feature is that no explicit seed selection is necessary; the seeds are generated automatically
Unstructured Data Analysis,Images,4,2,It is therefore a fully automatic segmentation procedure with the added benefit of the robustness of region-based segmentation
Unstructured Data Analysis,Images,4,2,The algorithm proceeds as follows
Unstructured Data Analysis,Images,4,2,The main goal of region splitting and merging is to determine the homogeneity of the image
Unstructured Data Analysis,Images,4,2,Let R represent the entire image region and decide a predicate Q
Unstructured Data Analysis,Images,4,2,"The purpose is that if Q(R) = FALSE, we divide the image R into quadrants"
Unstructured Data Analysis,Images,4,2,"If Q is FALSE for any quadrant, we subdivide that quadrant into subquadrants, and so on"
Unstructured Data Analysis,Images,4,2,"Until that, for any region Ri, Q(Ri) = TRUE"
Unstructured Data Analysis,Images,4,2,"After the process of splitting, merging process is to merge two adjacent regions Rj and Rk if Q(Rj ∪ Rk) = TRUE"
Unstructured Data Analysis,Images,4,2,The algorithm can be summarized as follows
Unstructured Data Analysis,Images,4,2,"The advantages of region splitting and merging are that the image can be split progressively according to resolution; and the image can be split using the user-specified criteria, such as mean or variance of segment pixel value"
Unstructured Data Analysis,Images,4,2,"In addition, the merging criteria can be set differently to the splitting criteria"
Unstructured Data Analysis,Images,4,2,"On the other hand, region splitting and merging tends to produce “blocky” segments, which can be reduced by splitting into further components, but this increases the computation time"
Unstructured Data Analysis,Images,4,2,Thresholding segmentation techniques are popular since their nature is intuitive and they are often simple and fast to implement
Unstructured Data Analysis,Images,4,2,"Given an image, suppose that object and background pixels have intensity values that group into two dominant modes"
Unstructured Data Analysis,Images,4,2,"To extract the objects from the background, simply select a threshold t that separates these modes: any point (x,y) in the image at which f(x,y) > t is then an object point"
Unstructured Data Analysis,Images,4,2,"Otherwise, it is a background point"
Unstructured Data Analysis,Images,4,2,"When the value of t changes over an image, the segmentation is a variable thresholding process"
Unstructured Data Analysis,Images,4,2,"The terms local or regional thresholding are sometimes used to describe variable thresholding where the value of t at any point (x,y) in an image depends on certain properties of a neighborhood of (x,y), e"
Unstructured Data Analysis,Images,4,2,g
Unstructured Data Analysis,Images,4,2,", the average intensity of the pixels in the neighborhood"
Unstructured Data Analysis,Images,4,2,"If t depends on the spatial coordinates (x,y), then variable thresholding is referred to as dynamic or adaptive thresholding"
Unstructured Data Analysis,Networks,4,2,Networks capture information on relationships and are used to model interactions
Unstructured Data Analysis,Networks,4,2,"Every day, you engage in a network and contribute to network data when you use your cell phone, log on to the internet, engage in social media, take public transport, etc"
Unstructured Data Analysis,Networks,4,2,They are one of the most fundamental data structures that we encounter on a daily basis
Unstructured Data Analysis,Networks,4,2,"Some of the most important and pressing data challenges entail working with networks—for example, identifying and predicting cybersecurity threats; understanding processes in biochemical reaction networks to develop therapies; identifying relevant targets in social media for effective advertisement, etc"
Unstructured Data Analysis,Networks,4,2,"Networks, as data structures, require special care and attention for data analysis and processing, because they aren’t vector spaces and aren’t metric spaces"
Unstructured Data Analysis,Networks,4,2,"For this reason, we can think of them as belonging to the domain of unstructured data, since unconventional approaches are fundamental to deal with them"
Unstructured Data Analysis,Networks,4,2,"In this topic, we’ll start with the basic characterizations of networks and approaches to deal with them"
Unstructured Data Analysis,Networks,4,2,"These include methods that vectorize networks so that we may use classical statistical vector- and metric-space based approaches, as well as techniques that deal with the network structure directly"
Unstructured Data Analysis,Networks,4,2,"Throughout this topic, we use the expressions “network” and “graph” interchangeably"
